City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
82,boise,43.6135,-116.2035,38.82,90,100,0.0,US,1703274698
83,puerto gaitan,4.3133,-72.0816,90.39,52,95,11.3,CO,1703275182
84,altamira,-3.2033,-52.2064,93.29,52,40,4.61,BR,1703275183
85,kone,-21.0595,164.8658,81.72,73,90,2.06,NC,1703275185
86,bardai,11.65,7.2333,69.67,22,43,9.57,NG,1703275186
87,tual,-5.6667,132.75,83.46,77,29,10.63,ID,1703275187
88,saudarkrokur,65.7461,-19.6394,13.6,87,99,2.75,IS,1703275189
89,conduaga,8.862,117.4893,78.64,82,100,3.58,PH,1703275190
90,carnarvon,-24.8667,113.6333,72.01,80,6,11.32,AU,1703275191
91,phalaborwa,-23.943,31.1411,79.88,57,28,4.25,ZA,1703275192
92,ilulissat,69.2167,-51.1,-7.08,70,99,8.72,GL,1703275194
93,inarajan village,13.2736,144.7484,81.57,90,65,18.01,GU,1703275195
94,bonnyville,54.2668,-110.735,25.92,83,68,3.47,CA,1703275196
95,kailua-kona,19.6406,-155.9956,78.51,85,100,6.06,US,1703275197
96,talnakh,69.4865,88.3972,10.65,95,100,8.9,RU,1703275199
97,tsiombe,-25.3,45.4833,74.77,80,4,10.85,MG,1703275200
98,atafu village,-8.5421,-172.5159,80.11,90,100,21.65,TK,1703275204
99,alice springs,-23.7,133.8833,65.75,30,27,2.3,AU,1703275208
100,saipan,15.1355,145.701,81.3,83,40,17.27,MP,1703275210
101,tazacorte,28.629,-17.9293,65.37,72,75,14.97,ES,1703275213
102,harrismith,-28.2728,29.1295,60.26,82,63,4.99,ZA,1703275215
103,labrador city,52.9463,-66.9114,3.11,60,20,4.61,CA,1703275217
104,uturoa,-16.7333,-151.4333,79.39,87,100,9.04,PF,1703275218
105,platteville,42.7342,-90.4785,44.69,87,100,3.44,US,1703275220
106,enewetak,11.3474,162.3373,81.45,80,9,21.56,MH,1703275221
107,margaret river,-33.95,115.0667,59.63,83,0,14.97,AU,1703275222
108,gembu,6.7,11.2667,67.03,35,52,3.71,NG,1703275224
109,karratha,-20.7377,116.8463,79.77,62,0,13.18,AU,1703275226
110,nuuk,64.1835,-51.7216,12.81,73,20,20.71,GL,1703275228
111,klaksvik,62.2266,-6.589,32.92,79,97,16.69,FO,1703275231
112,djambala,-2.5447,14.7533,70.86,86,100,2.06,CG,1703275233
113,happy valley-goose bay,53.3168,-60.3315,14.31,62,75,4.61,CA,1703275213
114,webster,42.0501,-71.8801,36.16,34,7,0.76,US,1703274968
115,idrinskoye,54.3708,92.1358,17.98,96,100,4.54,RU,1703275237
116,tiksi,71.6872,128.8694,-19.52,100,100,10.71,RU,1703275239
117,zheshart,62.0731,49.5733,25.02,99,99,1.74,RU,1703275240
118,constantia,44.1833,28.65,41.7,64,100,13.69,RO,1703275244
119,ballina,-28.8667,153.5667,62.78,86,65,6.15,AU,1703275245
120,prince george,53.9166,-122.753,40.44,56,100,16.11,CA,1703274693
121,guarapari,-20.6667,-40.4975,82.89,79,95,8.28,BR,1703275198
122,iquitos,-3.7481,-73.2472,89.64,70,75,5.75,PE,1703275251
123,invercargill,-46.4,168.35,56.01,96,100,3.0,NZ,1703275089
124,chimbote,-9.0853,-78.5783,73.71,73,39,10.71,PE,1703275255
125,laguna,38.421,-121.4238,66.09,81,0,5.75,US,1703275257
126,lawton,34.6087,-98.3903,64.31,75,100,3.44,US,1703275152
127,hami,42.8,93.45,16.23,65,4,7.63,CN,1703275253
128,kourou,5.1552,-52.6478,82.45,91,46,9.31,GF,1703275261
129,gulf shores,30.246,-87.7008,71.38,72,0,11.5,US,1703275081
130,punta arenas,-53.15,-70.9167,53.71,47,40,34.52,CL,1703275218
131,ancud,-41.8697,-73.8203,55.54,88,0,17.0,CL,1703275236
132,el calafate,-50.3408,-72.2768,54.14,51,27,23.47,AR,1703275278
133,haiku-pauwela,20.9219,-156.3051,75.25,78,100,11.99,US,1703275279
134,georgetown,5.4112,100.3354,82.33,82,20,6.91,MY,1703275280
135,olonkinbyen,70.9221,-8.7187,27.48,68,100,20.15,SJ,1703275282
136,puerto baquerizo moreno,-0.9,-89.6,75.2,87,100,12.73,EC,1703275283
137,sisimiut,66.9395,-53.6735,2.34,81,3,12.41,GL,1703275285
138,la ronge,55.1001,-105.2842,28.65,74,40,5.75,CA,1703275289
139,piatykhatky,48.4133,33.7106,37.62,97,100,11.12,UA,1703275290
140,aasiaat,68.7098,-52.8699,-5.48,100,100,8.66,GL,1703275292
141,sitka,57.0531,-135.33,36.9,93,99,1.21,US,1703275295
142,aldinga beach,-35.2793,138.4604,62.76,75,62,5.66,AU,1703275296
143,idri,27.5,13.2667,52.52,34,0,7.27,LY,1703275298
144,avarua,-21.2078,-159.775,77.05,69,75,4.61,CK,1703275300
145,isafjordur,66.0755,-23.124,24.58,88,100,23.0,IS,1703275303
146,bol'sherech'ye,56.0925,74.6272,22.32,94,100,8.28,RU,1703275304
147,thompson,55.7435,-97.8558,23.16,100,100,4.61,CA,1703275306
148,college,64.8569,-147.8028,3.18,82,75,5.75,US,1703275309
149,majie,25.0333,102.6361,35.58,100,100,8.95,CN,1703275310
150,akureyri,65.6835,-18.0878,15.73,92,100,2.3,IS,1703275312
151,brisas de zicatela,15.8369,-97.0419,82.99,49,4,8.43,MX,1703275313
152,afaahiti,-17.75,-149.2833,82.27,83,100,3.09,PF,1703275314
153,lebu,-37.6167,-73.65,60.71,73,7,21.9,CL,1703275317
154,puerto ayora,-0.7393,-90.3518,85.96,90,88,8.99,EC,1703275318
155,udachny,66.4167,112.4,0.45,91,100,8.3,RU,1703275320
156,ribeira grande,38.5167,-28.7,63.0,63,75,8.05,PT,1703275321
157,nema,57.5067,50.5011,32.52,98,100,9.46,RU,1703275323
158,sake,-1.5736,29.045,65.39,93,100,0.76,CD,1703275135
159,upington,-28.4478,21.2561,93.58,22,31,4.61,ZA,1703275257
